art1,name1,size1,art2,name2,qty2,art3,name3,qty3,price,total
AA000,ЭКРАН ПЛАСТИКОВЫЙ 48x180 ФРОНТАЛЬНАЯ БОКОВИНА,180х1х48,CX0317,Комплект A крепления экранов,1,,,,6.8,474
AA000,ЭКРАН ПЛАСТИКОВЫЙ 48x180 ФРОНТАЛЬНАЯ БОКОВИНА,180х1х48,CX1510,1 панель пластикового экрана фронтальная боковина 1670x480x6,1,BAU MET 040,Экран пластиковый h.480x1670 фронтальная боковина,1,0,0
AA000,ЭКРАН ПЛАСТИКОВЫЙ 48x180 ФРОНТАЛЬНАЯ БОКОВИНА,180х1х48,CX1510,1 панель пластикового экрана фронтальная боковина 1670x480x6,,BAU FER 021,Алюминиевый профиль под экраны L.1670,1,4.25,296
AA000,ЭКРАН ПЛАСТИКОВЫЙ 48x180 ФРОНТАЛЬНАЯ БОКОВИНА,180х1х48,CX1510,1 панель пластикового экрана фронтальная боковина 1670x480x6,,BAU FER 115,Шайба под экраны диам.12x6,4,1.76,123
AA002,ЭКРАН ПЛАСТИКОВЫЙ 48x160 ФРОНТАЛЬНАЯ БОКОВИНА,160х1х48,CX0317,Комплект A крепления экранов,1,,,,6.8,474
AA002,ЭКРАН ПЛАСТИКОВЫЙ 48x160 ФРОНТАЛЬНАЯ БОКОВИНА,160х1х48,CX1512,1 панель пластикового экрана фронтальная боковина 1470x480x6,1,BAU MET 042,Экран пластиковый h.480x1470 фронтальная сторона,1,0,0
AA002,ЭКРАН ПЛАСТИКОВЫЙ 48x160 ФРОНТАЛЬНАЯ БОКОВИНА,160х1х48,CX1512,1 панель пластикового экрана фронтальная боковина 1470x480x6,,BAU FER 023,Профиль алюминиевый по экраны  L.1470,1,3.85,269
AA002,ЭКРАН ПЛАСТИКОВЫЙ 48x160 ФРОНТАЛЬНАЯ БОКОВИНА,160х1х48,CX1512,1 панель пластикового экрана фронтальная боковина 1470x480x6,,BAU FER 115,Шайба под экраны диам.12x6,4,1.76,123
AA004,ЭКРАН ПЛАСТИКОВЫЙ 48x140 ФРОНТАЛЬНАЯ БОКОВИНА,140х1х48,CX0317,Комплект A крепления экранов,1,,,,6.8,474
AA004,ЭКРАН ПЛАСТИКОВЫЙ 48x140 ФРОНТАЛЬНАЯ БОКОВИНА,140х1х48,CX1514,1 панель пластикового экрана фронтальная боковина 1270x480x6,1,BAU MET 044,Экран пластиковый h.480x1270 фронтальная боковина,1,0,0
AA004,ЭКРАН ПЛАСТИКОВЫЙ 48x140 ФРОНТАЛЬНАЯ БОКОВИНА,140х1х48,CX1514,1 панель пластикового экрана фронтальная боковина 1270x480x6,,BAU FER 025,Профиль алюминиевый по экраны  L.1270,1,3,209
AA004,ЭКРАН ПЛАСТИКОВЫЙ 48x140 ФРОНТАЛЬНАЯ БОКОВИНА,140х1х48,CX1514,1 панель пластикового экрана фронтальная боковина 1270x480x6,,BAU FER 115,Шайба под экраны диам.12x6,4,1.76,123
AA005,ЭКРАН ПЛАСТИКОВЫЙ 48x120 ФРОНТАЛЬНАЯ БОКОВИНА,120х1х48,CX0317,Комплект A крепления экранов,1,,,,6.8,474
AA005,ЭКРАН ПЛАСТИКОВЫЙ 48x120 ФРОНТАЛЬНАЯ БОКОВИНА,120х1х48,CX1515,1 панель пластикового экрана фронтальная боковина 1070x480x6,1,BAU MET 045,Экран пластиковый h.480x1070 фронтальная боковина,1,0,0
AA005,ЭКРАН ПЛАСТИКОВЫЙ 48x120 ФРОНТАЛЬНАЯ БОКОВИНА,120х1х48,CX1515,1 панель пластикового экрана фронтальная боковина 1070x480x6,,BAU FER 026,Алюминиевый профиль под экраны L.1070,1,2.95,206
AA005,ЭКРАН ПЛАСТИКОВЫЙ 48x120 ФРОНТАЛЬНАЯ БОКОВИНА,120х1х48,CX1515,1 панель пластикового экрана фронтальная боковина 1070x480x6,,BAU FER 115,Шайба под экраны диам.12x6,4,1.76,123
AA009,ЭКРАН ПЛАСТИКОВЫЙ 48x49 ФРОНТАЛЬНАЯ БОКОВИНА,49х1х48,CX0317,Комплект A крепления экранов,1,,,,6.8,474
AA009,ЭКРАН ПЛАСТИКОВЫЙ 48x49 ФРОНТАЛЬНАЯ БОКОВИНА,49х1х48,CX1519,1 панель пластикового экрана фронтальная боковина 495x480x6,1,BAU MET 050,Экран пластиковый h.480x495 фронтальная боковина,1,0,0
AA009,ЭКРАН ПЛАСТИКОВЫЙ 48x49 ФРОНТАЛЬНАЯ БОКОВИНА,49х1х48,CX1519,1 панель пластикового экрана фронтальная боковина 495x480x6,,BAU FER 030,Алюминиевый профиль под экраны L.495/470,1,1.2,84
AA009,ЭКРАН ПЛАСТИКОВЫЙ 48x49 ФРОНТАЛЬНАЯ БОКОВИНА,49х1х48,CX1519,1 панель пластикового экрана фронтальная боковина 495x480x6,,BAU FER 115,Шайба под экраны диам.12x6,4,1.76,123
AA020,ЭКРАН ПЛАСТИКОВЫЙ 48x180 ФРОНТАЛЬНАЯ БОКОВИНА С  1 ТУМБОЧКОЙ,180х1х48,CX0340,Комплект H крепления удлинение экранов + тумбочка,1,,,,8.6,600
AA020,ЭКРАН ПЛАСТИКОВЫЙ 48x180 ФРОНТАЛЬНАЯ БОКОВИНА С  1 ТУМБОЧКОЙ,180х1х48,CX1510,1 панель пластикового экрана фронтальная боковина 1670x480x6,1,BAU MET 040,Экран пластиковый h.480x1670 фронтальная боковина,1,0,0
AA020,ЭКРАН ПЛАСТИКОВЫЙ 48x180 ФРОНТАЛЬНАЯ БОКОВИНА С  1 ТУМБОЧКОЙ,180х1х48,CX1510,1 панель пластикового экрана фронтальная боковина 1670x480x6,,BAU FER 021,Алюминиевый профиль под экраны L.1670,1,4.25,296
AA020,ЭКРАН ПЛАСТИКОВЫЙ 48x180 ФРОНТАЛЬНАЯ БОКОВИНА С  1 ТУМБОЧКОЙ,180х1х48,CX1510,1 панель пластикового экрана фронтальная боковина 1670x480x6,,BAU FER 115,Шайба под экраны диам.12x6,4,1.76,123
AA022,ЭКРАН ПЛАСТИКОВЫЙ 48x160 ФРОНТАЛЬНАЯ БОКОВИНА С  1 ТУМБОЧКОЙ,160х1х48,CX0340,Комплект H крепления удлинение экранов + тумбочка,1,,,,8.6,600
AA022,ЭКРАН ПЛАСТИКОВЫЙ 48x160 ФРОНТАЛЬНАЯ БОКОВИНА С  1 ТУМБОЧКОЙ,160х1х48,CX1512,1 панель пластикового экрана фронтальная боковина 1470x480x6,1,BAU MET 042,Экран пластиковый h.480x1470 фронтальная сторона,1,0,0
AA022,ЭКРАН ПЛАСТИКОВЫЙ 48x160 ФРОНТАЛЬНАЯ БОКОВИНА С  1 ТУМБОЧКОЙ,160х1х48,CX1512,1 панель пластикового экрана фронтальная боковина 1470x480x6,,BAU FER 023,Профиль алюминиевый по экраны  L.1470,1,3.85,269
AA022,ЭКРАН ПЛАСТИКОВЫЙ 48x160 ФРОНТАЛЬНАЯ БОКОВИНА С  1 ТУМБОЧКОЙ,160х1х48,CX1512,1 панель пластикового экрана фронтальная боковина 1470x480x6,,BAU FER 115,Шайба под экраны диам.12x6,4,1.76,123
AA024,ЭКРАН ПЛАСТИКОВЫЙ 48x140 ФРОНТАЛЬНАЯ БОКОВИНА С  1 ТУМБОЧКОЙ,140х1х48,CX0340,Комплект H крепления удлинение экранов + тумбочка,1,,,,8.6,600
AA024,ЭКРАН ПЛАСТИКОВЫЙ 48x140 ФРОНТАЛЬНАЯ БОКОВИНА С  1 ТУМБОЧКОЙ,140х1х48,CX1514,1 панель пластикового экрана фронтальная боковина 1270x480x6,1,BAU MET 044,Экран пластиковый h.480x1270 фронтальная боковина,1,0,0
AA024,ЭКРАН ПЛАСТИКОВЫЙ 48x140 ФРОНТАЛЬНАЯ БОКОВИНА С  1 ТУМБОЧКОЙ,140х1х48,CX1514,1 панель пластикового экрана фронтальная боковина 1270x480x6,,BAU FER 025,Профиль алюминиевый по экраны  L.1270,1,3,209
AA024,ЭКРАН ПЛАСТИКОВЫЙ 48x140 ФРОНТАЛЬНАЯ БОКОВИНА С  1 ТУМБОЧКОЙ,140х1х48,CX1514,1 панель пластикового экрана фронтальная боковина 1270x480x6,,BAU FER 115,Шайба под экраны диам.12x6,4,1.76,123
AA025,ЭКРАН ПЛАСТИКОВЫЙ 48x120 ФРОНТАЛЬНАЯ БОКОВИНА С  1 ТУМБОЧКОЙ,120х1х48,CX0340,Комплект H крепления удлинение экранов + тумбочка,1,,,,8.6,600
AA025,ЭКРАН ПЛАСТИКОВЫЙ 48x120 ФРОНТАЛЬНАЯ БОКОВИНА С  1 ТУМБОЧКОЙ,120х1х48,CX1515,1 панель пластикового экрана фронтальная боковина 1070x480x6,1,BAU MET 045,Экран пластиковый h.480x1070 фронтальная боковина,1,0,0
AA025,ЭКРАН ПЛАСТИКОВЫЙ 48x120 ФРОНТАЛЬНАЯ БОКОВИНА С  1 ТУМБОЧКОЙ,120х1х48,CX1515,1 панель пластикового экрана фронтальная боковина 1070x480x6,,BAU FER 026,Алюминиевый профиль под экраны L.1070,1,2.95,206
AA025,ЭКРАН ПЛАСТИКОВЫЙ 48x120 ФРОНТАЛЬНАЯ БОКОВИНА С  1 ТУМБОЧКОЙ,120х1х48,CX1515,1 панель пластикового экрана фронтальная боковина 1070x480x6,,BAU FER 115,Шайба под экраны диам.12x6,4,1.76,123
AA029,ЭКРАН ПЛАСТИКОВЫЙ 48x49 ФРОНТАЛЬНАЯ БОКОВИНА С  1 ТУМБОЧКОЙ,49х1х48,CX0340,Комплект H крепления удлинение экранов + тумбочка,1,,,,8.6,600
AA029,ЭКРАН ПЛАСТИКОВЫЙ 48x49 ФРОНТАЛЬНАЯ БОКОВИНА С  1 ТУМБОЧКОЙ,49х1х48,CX1519,1 панель пластикового экрана фронтальная боковина 495x480x6,1,BAU MET 050,Экран пластиковый h.480x495 фронтальная боковина,1,0,0
AA029,ЭКРАН ПЛАСТИКОВЫЙ 48x49 ФРОНТАЛЬНАЯ БОКОВИНА С  1 ТУМБОЧКОЙ,49х1х48,CX1519,1 панель пластикового экрана фронтальная боковина 495x480x6,,BAU FER 030,Алюминиевый профиль под экраны L.495/470,1,1.2,84
AA029,ЭКРАН ПЛАСТИКОВЫЙ 48x49 ФРОНТАЛЬНАЯ БОКОВИНА С  1 ТУМБОЧКОЙ,49х1х48,CX1519,1 панель пластикового экрана фронтальная боковина 495x480x6,,BAU FER 115,Шайба под экраны диам.12x6,4,1.76,123
AA030,ЭКРАН ПЛАСТИКОВЫЙ 48x180 ФРОНТАЛЬНАЯ БОКОВИНА С  1 ТУМБОЧКОЙ,180х1х48,CX0355,Комплект  M крепление для удлинения экранов + тумбочка/2 тумбочки,1,,,,6.6,460
AA030,ЭКРАН ПЛАСТИКОВЫЙ 48x180 ФРОНТАЛЬНАЯ БОКОВИНА С  1 ТУМБОЧКОЙ,180х1х48,CX1510,1 панель пластикового экрана фронтальная боковина 1670x480x6,1,BAU MET 040,Экран пластиковый h.480x1670 фронтальная боковина,1,0,0
AA030,ЭКРАН ПЛАСТИКОВЫЙ 48x180 ФРОНТАЛЬНАЯ БОКОВИНА С  1 ТУМБОЧКОЙ,180х1х48,CX1510,1 панель пластикового экрана фронтальная боковина 1670x480x6,,BAU FER 021,Алюминиевый профиль под экраны L.1670,1,4.25,296
